row_s,col_s,row_e,col_e,duration,timestamp,car,distance
5,4,4,4,1470.43999982,1399413810.93,265/ET907WT,1488.08694306
4,4,7,6,2164.63999987,1399413137.15,384/EV603NT,5803.33729255
7,7,2,5,2225.86999989,1399413075.92,397/EV616NT,10915.3122262
5,4,1,4,1164.25,1399414178.38,006/ET648WT,6637.17260044
4,4,2,3,878.310000181,1399414464.32,472/EV309TP,5806.87785801
6,2,4,6,2409.71000004,1399412953.32,090/ET732WT,6873.84614929
6,3,3,4,1205.05999994,1399414198.79,129/ET771WT,5374.99038775
7,2,7,3,1143.74000001,1399414260.11,138/ET780WT,2319.44518103
6,4,5,4,2470.94000006,1399412953.32,317/EV509NT,1487.3198382
4,4,4,3,2552.6500001,1399412973.73,221/ET863WT,1230.23344183
7,3,6,3,816.75,1399414709.63,207/ET849WT,3321.50100191
5,6,8,6,980.409999847,1399414566.38,071/ET713WT,5802.67804244
4,4,6,0,2409.63999987,1399413137.15,476/EV313TP,6311.29778871
1,4,1,4,796.409999847,1399414811.68,085/ET727WT,11.6013018378
7,7,4,6,2389.25,1399413259.68,111/ET753WT,6947.81196406
3,3,4,3,1327.52000022,1399414341.86,290/ET932WT,2520.35235396
5,6,4,6,571.779999971,1399415138.42,099/ET741WT,1400.83065495
4,6,8,7,1531.73000002,1399414300.94,257/ET899WT,8080.8742129
4,4,2,4,959.74000001,1399414872.93,217/ET859WT,4990.14364175
7,5,6,2,2307.97000003,1399413606.81,119/ET761WT,5636.7727534
8,7,8,7,204.610000134,1399415791.83,228/ET870WT,150.169900815
5,6,4,7,429.7900002,1399415587.59,442/EV660NT,1548.96027272
6,5,8,3,1879.81000018,1399414137.57,486/EV295TP,5241.95834549
6,5,6,6,1164.87999988,1399414872.93,298/ET940WT,2133.18549828
5,5,3,4,1695.97000003,1399414382.67,186/ET828WT,4451.52742518
6,7,6,7,1022.90999985,1399415138.42,226/ET868WT,306.637257621
6,1,6,3,880.309999943,1399415322.22,202/ET844WT,3542.95059491
7,4,5,2,1268.41000009,1399414975.04,142/ET784WT,4054.37567585
7,6,6,4,1635.89999986,1399414689.19,183/ET825WT,2164.58750497
4,4,4,5,1145.8599999,1399415179.24,393/EV612NT,2542.31903658
6,5,7,6,1186.88000011,1399415220.06,104/ET746WT,2838.30152397
7,6,6,6,1145.98000002,1399415260.96,323/EV532NT,1662.05663744
